drivers/ufs/ti-j721e-ufs.c:ti,j721e-ufs
drivers/pinctrl/pinctrl-sti.c:st,stih407-flash-pinctrl
drivers/pinctrl/mvebu/pinctrl-mvebu.c:marvell,mvebu-pinctrl
drivers/pinctrl/mvebu/pinctrl-mvebu.c:marvell,ap806-pinctrl
drivers/pinctrl/mvebu/pinctrl-mvebu.c:marvell,armada-7k-pinctrl
drivers/pinctrl/mvebu/pinctrl-mvebu.c:marvell,armada-8k-cpm-pinctrl
drivers/pinctrl/mvebu/pinctrl-mvebu.c:marvell,armada-8k-cps-pinctrl
drivers/pinctrl/mtmips/pinctrl-mt7621.c:mediatek,mt7621-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-38x.c:marvell,mv88f6810-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-38x.c:marvell,mv88f6820-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-38x.c:marvell,mv88f6828-pinctrl
drivers/pinctrl/mscc/pinctrl-ocelot.c:mscc,ocelot-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-37xx.c:marvell,armada3710-sb-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-37xx.c:marvell,armada3710-nb-pinctrl
drivers/pinctrl/mscc/pinctrl-serval.c:mscc,serval-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pro5.c:socionext,uniphier-pro5-pinctrl
drivers/reset/reset-uniphier.c:socionext,uniphier-ld4-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro4-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-sld8-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro5-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs2-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld11-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld20-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs3-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld4-mio-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro4-mio-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-sld8-mio-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro5-mio-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs2-mio-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld11-mio-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld11-sd-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld20-sd-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs3-sd-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld4-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro4-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-sld8-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro5-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs2-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld11-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld20-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs3-peri-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro4-usb3-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pro5-usb3-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs2-usb3-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-ld20-usb3-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-pxs3-usb3-reset
drivers/reset/reset-uniphier.c:socionext,uniphier-nx1-usb3-reset
drivers/pinctrl/mtmips/pinctrl-mt7628.c:mediatek,mt7628-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pxs2.c:socionext,uniphier-pxs2-pinctrl
drivers/pinctrl/mtmips/pinctrl-mt7620.c:mediatek,mt7620-pinctrl
